run_number,world-size,patch_resolution,landscape_number,hab_amount,clumpiness,specie,perceptual_range,initial_individuals,mortality_habitat,mortality_matrix,min_dist_before_settle,origin_site,min_Ci,var_Ci,behaviours,discharge-rate,En_mean,En_sd,import_hab_quality_surface,hab_quality_folder,hab_quality_per_frag,ac_simple,autocorrelation,ac,
78,150,10,78,34,71,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
79,150,10,79,41,79,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
80,150,10,81,10,63,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
81,150,10,80,64,70,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
82,150,10,82,19,54,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
83,150,10,83,27,87,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
84,150,10,84,11,32,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
85,150,10,85,36,90,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
86,150,10,86,23,9,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
87,150,10,87,11,75,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
88,150,10,90,32,53,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
89,150,10,88,64,77,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
90,150,10,89,62,46,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
91,150,10,91,46,34,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
